Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's nativelanguage	Languages spoken at home	Age of exposure to Spanish	Years studying Spanish	Stay abroad in Spanish speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writting/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	EN_WR_9_20_3_2_VSV	2006-2016	9 / 43	20.9	Lower beginner	Female	20	Georgia State University	""	3rd	English	English	English	English	15	3	No	""	""	0	""	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	1 / 6	""	""	""	""	""	Written	2	2. Famous person	written_online	""	Outside classroom	""	"Yo tengo hablar de Gwen Stefani. Gwen Stafani es una performa muisca. Ella es muy bonita y intilligete. Su musica es bella y divertida. Es con Gavin Rosdalle. Ella es una madre nueve. Su hermano nombre es Kingston. Ella es solo performo ahora pero was en el groupo musico No Doubt. Tienen mucho music popular.  <br/>  Gwen Stefani teine ropa nombre ""L.A.M.B."" ""L.A.M.B."" es buena pero muy cara. Celbritos gusta L.A.M.B. inludar Nicky Hilton, Pamela Anderson, Carmen Electra, Nicole Richie, Jenny McCarthy, Alicia Keys y Halle Berry. Gwen Stefani donde de Orange County, California. A las diecisiete escribe unas cansonas. Ella amore Tony, No Doubts bassist musica. No existen y ella escribe ""Don't Speak"".  <br/>  Gwen Stefani teine treinta y seite anos. Su cumpleanos es 3 de octubre. Su favorita musicas son 311, sublime, Blur, Radiohead, Madness, U2 y Jamiroquai. Su pelo rubio. Su pelo natural es marron. Ella teine una Grammy Award en 2002. Nominatio seies Grammy's. colobarto con Neptunes y Andre 3000."	
Learners	EN_WR_9_20_4_5_MLS	2006-2016	9 / 43	20.9	Lower beginner	Female	20	Pennsylvania State University	Spanish 003	2nd	English	English	English	English	16	4	No	""	""	0	""	Lower beginner (A1)	Lower intermediate (B1)	Upper beginner (A2)	Lower intermediate (B1)	2.25 / 6	""	""	""	""	""	Written	5	5. Future plans	written_online	""	Inside classroom	""	En el futuro yo planes a recibir a degree en Media Studies y minor en Business de Penn State Universidad. Yo desear vive en North Carolina o Florida mucho. Yo desear a muy bien trabajo con professional deporte team. Yo desear vive en beach y mucho casa y matrimonel y tene dos ninjas. Yo desear a be muy conseguir en mi futuro y be muy alegre.	
Learners	EN_WR_9_23_4_5_JAR	2006-2016	9 / 43	20.9	Lower beginner	Male	23	Georgia State University	Film/video	2nd	English	English	English	English	16	4	No	""	""	0	""	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	1 / 6	""	""	""	""	""	Written	5	5. Future plans	written_online	""	Inside classroom	""	Quiero estar un director de película bueno. Son mi tradajo soñar. Me gusta mucho películas de horror y comedia. Tengo mas películas de DVD. Yo estudio película en la universidad de Georgia State.	
Learners	EN_WR_9_25_0_5_JW	2006-2016	9 / 43	20.9	Lower beginner	Male	25	Georgia State University	Anthropology	4th	English	English	English	English	25	0	No	""	""	0	""	Lower beginner (A1)	Upper beginner (A2)	Lower beginner (A1)	Upper beginner (A2)	1.5 / 6	""	""	""	""	""	Written	5	5. Future plans	written_online	60	Outside classroom	Bilingual dictionary (Spanish/English)	Me planes para el futuro son simple. Soy licenciadoa universidad im uno anos. Tengo a grado im anthropologia. Quiero asistir a licenciado escuela im coloardo o Knoxville. Trabjo plane im sur esto o sur esto Estados Unidos. Vivo im sur Estados UnidosQuiero viagar mucho tiempo ober tengo la casa y familia. Pero ahora salgo Atlanta y Virgina . Tengo divertirse. Vuelvo estudio. Tengo estudio espana soy mal idioma.	
Learners	EN_WR_9_26_0_2_NLP	2006-2016	9 / 43	20.9	Lower beginner	Female	26	Georgia State University	spanish	1st	English	English	English	English	26	0	No	""	""	0	""	Upper beginner (A2)	Upper beginner (A2)	Lower beginner (A1)	Upper beginner (A2)	1.75 / 6	""	""	""	""	""	Written	2	2. Famous person	written_online	""	Inside classroom	""	Denzel Washington es muy guapo. Senor Washington te gusta pelicula. Senor Washington esta alto y mucho tiene deniro. Senor Washington vive en Los Angeles California con el novia en mucho encasa. Denzel Washington encanta football y basebol. Washington Tiene tres ninos. el nino camine Morehouse Universidad y juege football. Denzel Washingtons Pelicuas es John Q, Remember the Titans, y inside man. Me gusta Denzel Washington, el es me favorito actor.	
Learners	EN_WR_10_15_2_4_JAK	2006-2016	10 / 43	23.3	Lower beginner	Female	15	John F. Kennedy High School	""	2nd	English	English	English	English	13	2	No	""	""	0	""	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	2 / 6	""	""	""	""	""	Written	4	4. Last year holidays	written_online	""	Inside classroom	""	!Hola! <br/>  ?como te llamas? <br/>  Estoy muy bien. <br/>  Durante las vacacions yo visito mi hermano en Maryland.  <br/>  Paseo mucho tiemp con mis amigos. Me gusta el verano much porque es muy divertido. y porque no la escuela durante de el verano. Yo duerme much. mi amigo compra un coche. Fui ir comprar a la tienda de musica. Me gusta musica much. Me gustan los tacos. Quiero taco bell. !Taco Bell es una resturante y muy rico! te gustan tacos? Me gusta cantar y bailar mucho.	
Learners	EN_WR_10_18_2_9_JN	2006-2016	10 / 43	23.3	Lower beginner	Male	18	N/A	""	1st	English	English	English	English	16	2	No	""	""	0	""	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	2 / 6	""	""	""	""	""	Written	9	9. Anti-smoking law	written_online	120	Both inside and outside classroom	""	Soy soy todo para la ley anti tabacco. Pienso que ningún cuerpo debe ser capaz de fumar. Pienso que cada cigerette que alguien fuma pide apenas malgastSoy todo para la ley anti tabacco. Pienso que ningún cuerpo debe ser capaz de fumar. Pienso que cada cigerette que alguien fuma pide apenas malgastar su vida lejos. ar su vida lejos.Las personas necesitan mirar cuán largo ellos pueden vivir sin el fumar y entonces cuán largo ellos vivirán cuando ellos no fuman. Las personas fuera allí diario obtienen alguna clase del cáncer pPor qué hace cualquiera quiere malgastar sus vidas lejos fumando. La otra cosa buena acerca de la ley anti tabacco sería que bajo niños de edad no sería capaz de empezar a fumar. Que medios que mucho athlets sería capaz de jugar sus deporte mucho mejor ara fumar. Ellos no tendrían beathing de problema ni correr. Conmigo es un futbolista y los niños en nuestro equipo que fuma lo me matan becuse yo sé que nuestro equipo podría ser tanto mejor y tan p! <br/>   oder los jugadores si ellos no fumarían. Miro la vida cotidiana como una gran cosa y entonces yo miro a personas que fuman y ven cómo ellos malgastan su vida lejos. Tendré la salud mucho más mejor entonces ello. Yo también no tendré que pagar por las cuentas médicas que ellos estarán pagando por tambiéns hacenn. El fumar es realmente malo para su salud y es un desecho de la vida. Esta ley es la mejor cosa que ellos podrían hacer jamás a causa de lo que hace a las personas en nuestro país. El fumar hace los dientes gruesos y amarillos. Hace también el pelo y las manos huelen. Los productores deben ni quieren producir las cosas que matan evryday de personas. Eso va a mostrarle que ellos sólo tienen interés en a sí mismo y más tu dinero. Esto es las noticias más grandes que he entrado por tiempo cuando oí que ellos salían con esta ley. Es también malo para el enivornment. Las personas tiran su cigerette pero fuera la ventana y eso es la contaminación. Pone también el humo en el aire.	
Learners	EN_WR_10_19_3_5_KCN	2006-2016	10 / 43	23.3	Lower beginner	Male	19	Pennsylvania State University	""	2nd	English	English	English	English	15	3	No	""	""	0	""	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	3 / 6	""	""	""	""	""	Written	5	5. Future plans	written_online	""	Inside classroom	""	Me planes para el futuro es vive el sueño. Yo plane a universidad graduada y consiga un buen trabajo en la medico campo. Yo tengo a trabajo muy hard en la escuela a accomplish esto. After escuela yo quiera tener una familia y yo quiera a haga a las porciones de bebés. Yo tambien quiera un grande case con un bano con un tina bastnate grande para diez mas yo. Yo tambien quiera un aeroplano puedo ensamblar tan al alto club de la milla.	
Learners	EN_WR_10_20_1_14_RC	2017	10 / 43	23.3	Lower beginner	Male	20	City Tech	CST	3	English	English	English	English	19	1	No	""	""	0	""	Lower beginner (A1)	Lower beginner (A1)	Upper beginner (A2)	Lower beginner (A1)	1.25 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	30	Outside classroom	Bilingual dictionary (English/Spanish), Spellchecker, Grammar book	"Charlie Chaplin está caminando por algunos edificios cuando él consigue la basura lanzada en él y lo llaman un asno incómodo. A continuación, saca una lata que tiene cigarrillos en ellos, saca una y comienza a fumar. Mientras que fuma ve a un bebé que grita en la tierra y mira alrededor para la madre. Él ve a una mujer con un cochecito pasando, se detiene le dice ""perdóname cayó algo"" y pone al bebé en el cochecito. Ellos discuten y él toma al bebé. Charlie va a poner al bebé en el mismo lugar que él lo encontró pero un policía lo ve y lo detiene y se va con el bebé. Mientras camina con el bebé, ve a un hombre viejo y le pide que sostenga al bebé para que pueda atarse el zapato, pero acaba huyendo y se esconde. El viejo trata de seguirlo pero no puedo encontrarlo así que comienza a caminar y ve el mismo cochecito que la mujer de antes tiene y pone al bebé en el cochecito y se escapa. La mujer sale de la tienda shes en ve el segundo bebé y luego ve a Charlie caminando por lo que corre y lo golpea en la cabeza con un paraguas diciéndole que tomar el bebé de nuevo y él comienza a discutir, pero el policía se agacha tan Él toma al bebé sin más alboroto. Finalmente se sienta considera poner al bebé en la alcantarilla pero no lo hace entonces lee la nota adjunta al bebé sonríe y se va."	
Learners	EN_WR_10_21_2_2_TW	2006-2016	10 / 43	23.3	Lower beginner	Female	21	Georgia State University	Social Work	1st	English	English	English	English	16	2	No	""	""	0	""	Lower beginner (A1)	Upper intermediate (B2)	Upper intermediate (B2)	Lower beginner (A1)	2.5 / 6	""	""	""	""	""	Written	2	2. Famous person	written_online	""	Inside classroom	""	Hola! Como Esta? <br/>  !No hablo espanol! Muy dicifil! Jennifer Lopez es muy talentoso. Ella es vive en norteamericano con Senor Anthony.Senora Lopez tiene muy amigos y amigas famosa en Holllywood. Ella canta es muy mal. !Muy Mal! Jennifer Lopez es bonita y delgada y interesante. Ella es tanto. Es de donde Nueva York. Ella es muy mal actriz.	
Learners	EN_SP_10_22_4_13_ER	2017	10 / 43	23.3	Lower beginner	Female	22	Pennsylvania State University	Dance & Kineisology	Senior	English	English	English	English	15	4	No	""	""	0	""	Lower intermediate (B1)	Upper intermediate (B2)	Upper intermediate (B2)	Lower intermediate (B1)	3.5 / 6	""	""	""	""	""	Spoken	13	13. Frog	spoken_online	20	Outside classroom	Bilingual dictionary (English/Spanish), Spellchecker	un día un pequeño niño fue dado un rana como mascota hhh estaba / tan feliz y se dormía esa noche xxx cuando se despertó la rana se hhh había ido hhh el muchacho estaba xxx y empiezo a buscar por toda la cuidad hhh el llamó a la rana hhh donda donde estás hhh se subió a un gran / uh roco para hhh buscarlo y de repente un ciervo hhh apareció en un xxx de la roca y hhh bajando por el acantilado el niño se siente en un estanco / que un / uh junto con su perro hhh que estaba ayudando a mirar / de repente el muchacho el miró a su / alrededor hhh y allí estaba su rana hhh tenía una familia propia / el muchacho volvió a estar contento hhh y dedó dejó a la rana sola con su familia	
Learners	EN_WR_10_22_4_13_ER	2017	10 / 43	23.3	Lower beginner	Female	22	Pennsylvania State University	Dance & Kineisology	Senior	English	English	English	English	15	4	No	""	""	0	""	Lower intermediate (B1)	Upper intermediate (B2)	Upper intermediate (B2)	Lower intermediate (B1)	3.5 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	20	Outside classroom	Bilingual dictionary (English/Spanish), Spellchecker	"Un día un pequeño nino fue dado una rana como mascota. Estaba tan feliz y se dormía esa noche sonriendo. Cuando se despertó, la rana se había ido! El muchacho estaba tan molesto y empezó a buscar por toda la ciudad. Él llamó a la rana, ""¿Dónde estás?"". Se subió a una gran roca para buscarlo y de repente un ciervo apareció empujándolo de la roca y bajando por el acantilado. El niño se siente en un estanque junto con su perro que estaba ayudando a mirar. De repente el muchacho miró a su alrededor y allí estaba su rana. ¡Tenía una familia propia! El muchacho volvió a estar contento y dejó a la rana sola con su familia."	
Learners	EN_WR_10_24_0.5_14_AW	2017	10 / 43	23.3	Lower beginner	Male	24	New york college of technology	LA	2	English	English	English	English	22	0.5	No	""	""	0	""	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	1 / 6	""	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	Written	14	14. Chaplin	written_online	20	Outside classroom	Bilingual dictionary (English/Spanish), Spellchecker	El hombre estaba caminando solo paro toma un cigarrilo y encontró un bebe en un rincón vacío. Hombre sala so bebe y no no sabe a donde ir.  Bebe fue abandonar. Trata de darle al bebe a extranos. El hombre no le gusta el bebe en primero. la polica vio al tipo tretar de dejar al bebe. el hombre trata de darle al bebé a otra madre. madre se enoja. la madre del bebé dejó a su niño para ser amado y cuidado	
Learners	EN_WR_10_27_0_1_EMP	2006-2016	10 / 43	23.3	Lower beginner	Male	27	Georgia State University	Political Science/ International Relations	1st	English	English	English	English	27	0	Yes	Puerto Rico	1998	1	""	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	2 / 6	""	""	""	""	""	Written	1	1. Region where you live	written_online	""	Inside classroom	""	"Buenos dias! Me llamo es Eric. Yo soy de donde es Georgia. La región de donde vivis es bonito y ""amazing"". Es la muy bien región de donde vivis."	
Learners	EN_WR_10_44_1.5_9_KLW	2006-2016	10 / 43	23.3	Lower beginner	Female	44	Pennsylvania State University DuBois	LAS	2nd	English	English	English	English	40	1.5	No	""	""	0	""	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	2 / 6	""	""	""	""	""	Written	9	9. Anti-smoking law	written_online	""	Inside classroom	""	Me opina para nuevo anti-tabaco es la personas le use es mal. Yo es user y un dañan es resulte. <br/>  Yo es no beno y muy infemias. Un final solutíon importante!	
